NOM_MUN,CVE_MUN,Incidencia_Junio
Acajete,001,11
Acateno,002,1
Acatlan,003,7
Acatzingo,004,5
Acteopan,005,0
Ahuacatlan,006,4
Ahuatlan,007,0
Ahuazotepec,008,2
Ahuehuetitla,009,0
Ajalpan,010,6
Albino Zertuche,011,0
Aljojuca,012,0
Altepexi,013,3
Amixtlan,014,0
Amozoc,015,40
Aquixtla,016,0
Atempan,017,6
Atexcal,018,0
Atlixco,019,26
Atoyatempan,020,1
Atzala,021,0
Atzitzihuacan,022,1
Atzitzintla,023,1
Axutla,024,0
Ayotoxco de Guerrero,025,2
Calpan,026,3
Caltepec,027,0
Camocuautla,028,0
Caxhuacan,029,0
Coatepec,030,0
Coatzingo,031,1
Cohetzala,032,0
Cohuecan,033,0
Coronango,034,18
Coxcatlan,035,4
Coyomeapan,036,0
Coyotepec,037,0
Cuapiaxtla de Madero,038,0
Cuautempan,039,0
Cuautinchan,040,3
Cuautlancingo,041,36
Cuayuca de Andrade,042,0
Cuetzalan del Progreso,043,14
Cuyoaco,044,3
Chalchicomula de Sesma,045,10
Chapulco,046,6
Chiautla,047,2
Chiautzingo,048,0
Chiconcuautla,049,2
Chichiquila,050,1
Chietla,051,2
Chigmecatitlan,052,0
Chignahuapan,053,11
Chignautla,054,3
Chila,055,1
Chila de la Sal,056,0
Honey,057,0
Chilchotla,058,0
Chinantla,059,0
Domingo Arenas,060,0
Eloxochitlan,061,0
Epatlan,062,0
Esperanza,063,1
Francisco Z. Mena,064,1
General Felipe angeles,065,0
Guadalupe,066,0
Guadalupe Victoria,067,0
Hermenegildo Galeana,068,0
Huaquechula,069,0
Huatlatlauca,070,1
Huauchinango,071,27
Huehuetla,072,4
Huehuetlan el Chico,073,2
Huejotzingo,074,19
Hueyapan,075,2
Hueytamalco,076,6
Hueytlalpan,077,0
Huitzilan de Serdan,078,0
Huitziltepec,079,1
Atlequizayan,080,0
Ixcamilpa de Guerrero,081,0
Ixcaquixtla,082,1
Ixtacamaxtitlan,083,1
Ixtepec,084,0
Izucar de Matamoros,085,17
Jalpan,086,4
Jolalpan,087,0
Jonotla,088,0
Jopala,089,1
Juan C. Bonilla,090,8
Juan Galindo,091,3
Juan N. Mendez,092,1
Lafragua,093,1
Libres,094,7
La Magdalena Tlatlauquitepec,095,0
Mazapiltepec de Juarez,096,1
Mixtla,097,1
Molcaxac,098,1
Cañada Morelos,099,1
Naupan,100,0
Nauzontla,101,0
Nealtican,102,4
Nicolas Bravo,103,0
Nopalucan,104,2
Ocotepec,105,1
Ocoyucan,106,17
Olintla,107,0
Oriental,108,3
Pahuatlan,109,9
Palmar de Bravo,110,9
Pantepec,111,2
Petlalcingo,112,0
Piaxtla,113,2
Puebla,114,423
Quecholac,115,2
Quimixtlan,116,0
Rafael Lara Grajales,117,3
Los Reyes de Juarez,118,3
San Andres Cholula,119,43
San Antonio Cañada,120,0
San Diego la Mesa Tochimiltzingo,121,0
San Felipe Teotlalcingo,122,0
San Felipe Tepatlan,123,0
San Gabriel Chilac,124,3
San Gregorio Atzompa,125,1
San Jeronimo Tecuanipan,126,0
San Jeronimo Xayacatlan,127,0
San Jose Chiapa,128,0
San Jose Miahuatlan,129,1
San Juan Atenco,130,0
San Juan Atzompa,131,0
San Martin Texmelucan,132,34
San Martin Totoltepec,133,0
San Matias Tlalancaleca,134,0
San Miguel Ixitlan,135,0
San Miguel Xoxtla,136,4
San Nicolas Buenos Aires,137,0
San Nicolas de los Ranchos,138,0
