Fecha,Ubicacion,Colonia,Municipio,Address,Tipo,Google Maps URL,latitude,longitude
44066,CALLE 38 NORTE NUM 1016 ESQ 10 ORIENTE,LOS REMEDIOS,PUEBLA,"LOS REMEDIOS, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0388739,-98.1857745",19.0388739,-98.1857745
44079,SAN FRANCISCO ESQ ALCATRAZ,ARBOLEDAS DE SANTA LUCIA,PUEBLA,"ARBOLEDAS DE SANTA LUCIA, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=20.1937749,-97.3489729",20.1937749,-97.3489729
44081,PINO SUARES LOTE 2 MZ 10 ENTRE PRESA Y LUZ,GUADALUPE HIDALGO,PUEBLA,"GUADALUPE HIDALGO, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=18.9788043,-98.2472773",18.9788043,-98.2472773
44108,CALLE JOSE MARIA MORELOS,AYEHUALULCO BARRIO,ZACATLÁN,"AYEHUALULCO BARRIO, ZACATLÁN, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.9501516,-97.9583516",19.9501516,-97.9583516
44112,CALLE SANTA ELVIRA MAN 2 LOTE 1 ESQ CAMINO VIEJO A BALCONES,SANTA LUCIA,PUEBLA,"SANTA LUCIA, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=20.1937749,-97.3489729",20.1937749,-97.3489729
44117,REFORMA ESQ 11 SUR,PUEBLA CENTRO,PUEBLA,"PUEBLA CENTRO, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0437335,-98.1980244",19.0437335,-98.1980244
44131,"CATEMACO ESQUINA CANTERA - 19.039444, -98.129914",VERACRUZ,PUEBLA,"VERACRUZ, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.083251,-98.1681636",19.083251,-98.1681636
44137,RAYON NUM 30 - ALDAMA,IGNACIO ROMERO VARGAS,PUEBLA,"IGNACIO ROMERO VARGAS, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0754163,-98.24659349999999",19.0754163,-98.2465935
44158,CALLE HIDALGO NUM 306 ESQ 3 SUR,LA LIBERTAD,PUEBLA,"LA LIBERTAD, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0707136,-98.23633749999999",19.0707136,-98.2363375
44196,RETORNO DE LA 6 ORIENTE B 2055 CASA 1,FRACCIONAMIENTO MAGNOLIAS,PUEBLA,"FRACCIONAMIENTO MAGNOLIAS, PUEBLA, Pue",VIOLACION,"https://www.google.com/maps/search/?api=1&query=19.1031307,-98.2163423",19.1031307,-98.2163423
44239,12 PTE NUM 2111 - DIAG DEF DE LA REP,JESÚS GARCÍA,PUEBLA,"JESÚS GARCÍA, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0563575,-98.21104539999999",19.0563575,-98.2110454
44264,SAN JUAN DIEGO NUM 65 ESQ MARIA REYNA,FRACCIONAMIENTO BARRIO ARBOLEDAS,PUEBLA,"FRACCIONAMIENTO BARRIO ARBOLEDAS, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=18.9845265,-98.2014777",18.9845265,-98.2014777
44340,DOMICILIO CONOCIDO,CUAUTEMPAN,CUAUTEMPAN,"CUAUTEMPAN, CUAUTEMPAN, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.9151212,-97.79496940000001",19.9151212,-97.7949694
44350,12 SUR 11305 -,LOS HÉROES 2DA SECC,PUEBLA,"LOS HÉROES 2DA SECC, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0243882,-98.2467991",19.0243882,-98.2467991
44402,CERRADA SANTA CECILIA DEPART 1 MOD 5 -ANDADOR SANTA ROSA Y 20 SUR,LAS TERRAZAS,PUEBLA,"LAS TERRAZAS, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0414398,-98.2062727",19.0414398,-98.2062727
44416,CALLE ENCINO 348 - 5 SUR,EL CERRITO,PUEBLA,"EL CERRITO, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0177731,-98.2165132",19.0177731,-98.2165132
44433,AVENIDA CONSTITUYENTES - ARTICULO 21,CONSTITUCIÓN MEXICANA,PUEBLA,"CONSTITUCIÓN MEXICANA, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=18.9557022,-98.23633749999999",18.9557022,-98.2363375
44494,CALLE 16 DE SEPTIEMBRE - DR GONZALO BAUTISTA,GRAL IGNACIO ZARAGOZA,PUEBLA,"GRAL IGNACIO ZARAGOZA, PUEBLA, Pue",VIOLACIÓN,"https://www.google.com/maps/search/?api=1&query=19.0414398,-98.2062727",19.0414398,-98.2062727
